"","complex_id","complex_name","complex_creator","complex_state","complex_ready_date","low_price","high_price","complex_location","complex_location_exact","complex_location_accurate","complex_location_coords","geocoding_accurate","complex_closest_metro","complex_dist_to_metro","complex_apartment_count"
"1","5673","ЖК «Три апельсина»","Normann","Строится"," IV квартал 2015 года ",70000,95000,"Санкт-Петербург г.,Выборгский район, Парголово, Заречная ул.","Санкт-Петербург г.,Выборгский район, Парголово, Заречная ул.","Парнас, 11 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,276
"2","5665","ЖК «Вернисаж»","Полис Групп","Строится"," II квартал 2015 года — IV квартал 2015 года (3 очереди) ",47000,132000,"Ленинградская область, Всеволожский район, Кудрово дер.","Ленинградская область, Всеволожский район, Кудрово дер.",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,643
"3","5674","ЖК «Десяткино»","Normann","Строится"," II квартал 2015 года — IV квартал 2015 года (2 очереди) ",60000,1e+05,"Ленинградская область, Всеволожский район, поселок Мурино","Ленинградская область, Всеволожский район, поселок Мурино",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,46
"4","7931","ЖК «Дом с фонтаном»","Стадия строительства: Строится","Строится",NA,40000,51000,"Ленинградская область, Всеволожский р-н, Щеглово пос., Центральная ул.","Ленинградская область, Всеволожский р-н, Щеглово пос., Центральная ул.",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,330
"5","6250","ЖК «Green City»","Северный Город","Строится"," II квартал 2018 года ",76000,132000,"Санкт-Петербург г.,Невский район, Александровской фермы пр.","Санкт-Петербург г.,Невский район, Александровской фермы пр.","Пролетарская, 8 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,2194
"6","5290","ЖК «Смольный проспект»","ЮИТ Лентек","Строится",NA,119000,357000,"Санкт-Петербург г.,Центральный район, Смольный пр.","Санкт-Петербург г.,Центральный район, Смольный пр.","Чернышевская, 3 мин. на машине","59.914418:30.339432",NA,"Пушкинская",884.485123109532,404
"7","7047","ЖК «Stockholm»","SetlCity","Строится",NA,122000,423000,"Санкт-Петербург г.,Приморский район, Приморский пр.","Санкт-Петербург г.,Приморский район, Приморский пр.","Старая Деревня, 10 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,170
"8","5643","ЖК «The RESIDENCE/Резиденция»","SetlCity","Строится",NA,122000,235000,"Санкт-Петербург г.,Василеостровский район, Малый пр.","Санкт-Петербург г.,Василеостровский район, Малый пр.","Василеостровская","59.914418:30.339432",NA,"Пушкинская",884.485123109532,44
"9","7341","ЖК «Привилегия»","Еврострой","Строится",NA,230000,651000,"Санкт-Петербург г., Петроградский район, Вязовая ул.","Санкт-Петербург г., Петроградский район, Вязовая ул.","Крестовский остров, 11 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,385
"10","6335","ЖК «ЗимаЛето»","SetlCity","Строится"," III квартал 2016 года ",91000,134000,"Санкт-Петербург г.,Красногвардейский район, Энергетиков пр.","Санкт-Петербург г.,Красногвардейский район, Энергетиков пр.","Ладожская, 6 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,130
"11","6849","ЖК «Time Дом у Московского»","Северный Город","Строится",NA,108000,180000,"Санкт-Петербург г., Московский район, Заозерная ул.","Санкт-Петербург г., Московский район, Заозерная ул.","Фрунзенская, 4 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,291
"12","5111","ЖК «София»","ЛСР. Недвижимость","Строится"," IV квартал 2014 года ",84000,130000,"Санкт-Петербург г.,Фрунзенский район, Южное ш.","Санкт-Петербург г.,Фрунзенский район, Южное ш.","Международная, 3 мин. на машине","59.914418:30.339432",NA,"Пушкинская",884.485123109532,124
"13","7447","ЖК «Охтинская Дуга»","Запстрой","Строится",NA,59000,92000,"Ленинградская область, Всеволожский район, поселок Мурино","Ленинградская область, Всеволожский район, поселок Мурино",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,91
"14","7112","ЖК «Амазонка »","КВС","Сдан ГК",NA,68000,94000,"Санкт-Петербург г.,Кронштадтский р-н, Кронштадт г., Зосимова ул.","Санкт-Петербург г.,Кронштадтский р-н, Кронштадт г., Зосимова ул.","Старая Деревня, 42 мин. на машине","59.914418:30.339432",NA,"Пушкинская",884.485123109532,25
"15","6963","ЖК «Золотые купола»","РосСтройИнвест","Строится",NA,50000,74000,"Ленинградская область, Всеволожский район, поселок Сертолово, Черная речка мкр.","Ленинградская область, Всеволожский район, поселок Сертолово, Черная речка мкр.",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,858
"16","7454","ЖК «Весна-2»","ЦДС","Строится",NA,59000,97000,"Ленинградская область, Всеволожский район, Кудрово дер., Европейский пр.","Ленинградская область, Всеволожский район, Кудрово дер., Европейский пр.",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,337
"17","7006","ЖК «Николаевский ансамбль»","ДК Созвездие","Строится",NA,111000,182000,"Санкт-Петербург г., Центральный район, Кременчугская ул.","Санкт-Петербург г., Центральный район, Кременчугская ул.",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,180
"18","7199","ЖК «Fjord»","ЮИТ Лентек","Строится",NA,99000,229000,"Санкт-Петербург г.,Василеостровский район, Малый пр.","Санкт-Петербург г.,Василеостровский район, Малый пр.","Василеостровская","59.914418:30.339432",NA,"Пушкинская",884.485123109532,399
"19","5657","ЖК «Юнион»","Полис Групп","Сдан ГК"," II квартал 2015 года ",72000,122000,"Санкт-Петербург г.,Пушкинский р-н, Шушары пос., Вилеровский пер.","Санкт-Петербург г.,Пушкинский р-н, Шушары пос., Вилеровский пер.","Купчино, 3 мин. на машине","59.914418:30.339432",NA,"Пушкинская",884.485123109532,48
"20","6952","ЖК «Ласточка»","Петрострой","Строится",NA,57000,105000,"Ленинградская область, Всеволожский район, поселок Мурино","Ленинградская область, Всеволожский район, поселок Мурино",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,162
"21","7162","ЖК «Дом у Елагина острова»","Северный Город","Строится",NA,131000,184000,"Санкт-Петербург г., Приморский район, Липовая ал.","Санкт-Петербург г., Приморский район, Липовая ал.","Старая Деревня, 4 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,549
"22","7752","ЖК «Москва»","SetlCity","Строится",NA,88000,211000,"Санкт-Петербург г.,Московский район, Костюшко ул.","Санкт-Петербург г.,Московский район, Костюшко ул.","Московская, 12 мин. пешком","59.914418:30.339432",NA,"Пушкинская",884.485123109532,152
"23","7408","ЖК «Кантемировский»","ЦДС","Строится",NA,66000,122000,"Санкт-Петербург г.,Калининский район, Маршала Блюхера пр.","Санкт-Петербург г.,Калининский район, Маршала Блюхера пр.",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,820
"24","5167","ЖК «GreenЛандия»","SetlCity","Строится"," IV квартал 2014 года — III квартал 2015 года (3 очереди) ",60000,125000,"Ленинградская область, Всеволожский район, поселок Мурино","Ленинградская область, Всеволожский район, поселок Мурино",NA,"59.914418:30.339432",NA,"Пушкинская",884.485123109532,485
"25","7064","ЖК «Три ветра»","ЛСР. Недвижимость","Строится",NA,99000,275000,"Санкт-Петербург г.,Приморский район, Савушкина ул.","Санкт-Петербург г.,Приморский район, Савушкина ул.","Старая Деревня, 3 мин. на машине","59.914418:30.339432",NA,"Пушкинская",884.485123109532,399
