"complex_id","apartment_address","apartment_seller","apartment_seller_tel","apartment_selling_type","apartment_building_type","apartment_ready_date","official_offer","apartment_type","apartment_total_area","apartment_living_area","apartment_kitchen_area","apartment_floor_number","apartment_floor_total","apartment_has_service_elevator","apartment_has_pass_elevator","apartment_has_balkony","apartment_has_loggia","apartment_closest_metro","apartment_closest_metro_dist_time","apartment_closest_metro_dist_type","apartment_price_meter","apartment_price","apartment_link"
"7209","Санкт-Петербург, пос. Шушары, район Пушкинский, Школьная ул., 1","ID:6985894","+7 812 389-67...","новостройка",NA,NA,TRUE,"1-комнатная",36,13.9,9.7,NA,NA,TRUE,TRUE,FALSE,TRUE,"Купчино","10","на транспорте",101389,3650000,"http://spb.cian.ru/sale/flat/139060807/"
"7209","Санкт-Петербург, пос. Шушары, район Пушкинский, Первомайская ул., 8","ID:7154194","+7 812 389-67...","новостройка","кирпично-монолитный"," 2014 год",TRUE,"1-комнатная",36,13.9,9.7,10,18,FALSE,TRUE,TRUE,FALSE,"Купчино","10","на транспорте",126667,4560000,"http://spb.cian.ru/sale/flat/46912782/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:12325973","+7 812 389-69...","новостройка","панельный"," 2018 год",TRUE,"1-комнатная",42,11.4,16.9,12,13,FALSE,TRUE,TRUE,FALSE,"Старая Деревня","30","пешком",178095,7480000,"http://spb.cian.ru/sale/flat/145073074/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:6985894","+7 812 389-67...","новостройка",NA,NA,TRUE,"1-комнатная",43,13.2,11.5,NA,NA,TRUE,TRUE,TRUE,FALSE,"Старая Деревня","15","на транспорте",181860,7820000,"http://spb.cian.ru/sale/flat/142168518/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:12325973","+7 812 389-69...","новостройка","панельный"," 2018 год",TRUE,"1-комнатная",42,13.4,11.6,11,13,FALSE,TRUE,TRUE,FALSE,"Старая Деревня","30","пешком",193810,8140000,"http://spb.cian.ru/sale/flat/145071263/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:12325973","+7 812 389-69...","новостройка","панельный"," 2018 год",TRUE,"1-комнатная",50,15.1,21.8,6,13,FALSE,TRUE,FALSE,TRUE,"Старая Деревня","30","пешком",212000,10600000,"http://spb.cian.ru/sale/flat/145071188/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:12325973","+7 812 389-69...","новостройка","панельный"," 2018 год",TRUE,"1-комнатная",51,17.8,14.8,2,13,FALSE,TRUE,TRUE,FALSE,"Старая Деревня","30","пешком",209020,10660000,"http://spb.cian.ru/sale/flat/145071129/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:6985894","+7 812 389-67...","новостройка",NA,NA,TRUE,"1-комнатная",51,17.8,14.8,NA,NA,TRUE,TRUE,FALSE,TRUE,"Старая Деревня","15","на транспорте",209020,10660000,"http://spb.cian.ru/sale/flat/142168314/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:12325973","+7 812 389-69...","новостройка","панельный"," 2018 год",TRUE,"1-комнатная",37,12.8,10.1,8,13,FALSE,TRUE,TRUE,FALSE,"Старая Деревня","30","пешком",141081,5220000,"http://spb.cian.ru/sale/flat/145073135/"
"7064","Санкт-Петербург, район Приморский, ул. Савушкина","ID:12325973","+7 812 389-69...","новостройка","панельный"," 2018 год",TRUE,"1-комнатная",35,14,7.9,10,13,FALSE,TRUE,TRUE,FALSE,"Старая Деревня","30","пешком",151143,5290000,"http://spb.cian.ru/sale/flat/145073466/"
